Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C2, C24, C25, C26, C3, C31, C4, C6, C7, C8",0402,14,100nF,C1525
"C10, C15, C5",0402,3,10uF 6V3,C315248
"C14, C9",0402,2,18pF,C106202
"C16, C22, C23, C27, C28, C29, C30",0402,7,1uF,C14445
C17,0402,1,47nF,C368599
"C18, C19",0402,2,10nF,C15195
"C20, C21",0402,2,10nF/NP0,C3855387
"D1, D2, D3, D4, D5, D6",0402,6,LED,C364553
"J1, J2",AUDIO-TH_PJ-3200,2,Black headphone jack,C18166
J4,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,C6332201
R1,0402,1,1M,C138033
"R10, R11, R12, R19, R2, R20, R21, R9",0402,8,50K,C166559
"R13, R14",0402,2,5.1K,C25905
"R15, R16, R17, R18, R22, R24, R25",0402,7,10K, 0402WGF1002TCE C25744 Hot 
"R23, R6",0402,2,100K,C25741
"R26, R27, R4, R5",0402,4,20R,C25089
R3,0402,1,10R,C25077
"R7, R8",0402,2,470R,C25117
SIM1,SIM-SMD_8P-1040310811,1,1040310811,C585350
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,SW_Push,C393938
"SW3, SW4, SW5, SW6",SW_PUSH_6mm,4,SW_Push,C393938
U1,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,1,VS1053B,C9922
U2,UFQFPN-32_L5.0-W5.0-P0.50-TL-EP3.5,1,STM32F042K6U6TR,C2053439
U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,LP5907MFX-3.3,C23380874
U4,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,LP5907MFX-1.8,C23380872
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,SX2B12.288F1210F30,C49253544
